epoch: 32, train_loss: 0.564, acc: 78.54, fscore: [78.29], valid_loss: 1.022, acc: 55.8, fscore: [55.29], test_loss: 0.9472, acc: 64.14, fscore: [64.28], time: 76.21 sec
epoch: 33, train_loss: 0.5523, acc: 79.0, fscore: [78.83], valid_loss: 1.1011, acc: 56.41, fscore: [56.78], test_loss: 0.9819, acc: 63.59, fscore: [63.39], time: 68.92 sec
epoch: 34, train_loss: 0.5702, acc: 78.0, fscore: [77.74], valid_loss: 1.0816, acc: 56.41, fscore: [55.64], test_loss: 0.9735, acc: 64.51, fscore: [64.46], time: 74.78 sec
epoch: 35, train_loss: 0.5868, acc: 77.15, fscore: [76.96], valid_loss: 1.0437, acc: 58.42, fscore: [57.98], test_loss: 0.9675, acc: 63.15, fscore: [63.18], time: 73.98 sec
epoch: 36, train_loss: 0.5685, acc: 77.71, fscore: [77.41], valid_loss: 0.9927, acc: 58.42, fscore: [58.59], test_loss: 1.0401, acc: 62.85, fscore: [62.65], time: 72.34 sec
epoch: 37, train_loss: 0.5834, acc: 76.76, fscore: [76.69], valid_loss: 1.0446, acc: 56.26, fscore: [56.18], test_loss: 0.947, acc: 65.62, fscore: [65.75], time: 73.09 sec
epoch: 38, train_loss: 0.5351, acc: 80.09, fscore: [79.92], valid_loss: 1.1154, acc: 54.87, fscore: [54.02], test_loss: 0.9675, acc: 63.65, fscore: [63.66], time: 72.41 sec
epoch: 39, train_loss: 0.5064, acc: 80.92, fscore: [80.8], valid_loss: 1.0559, acc: 53.79, fscore: [52.68], test_loss: 0.9275, acc: 64.2, fscore: [64.35], time: 70.23 sec
epoch: 40, train_loss: 0.4801, acc: 82.3, fscore: [82.01], valid_loss: 1.0036, acc: 58.42, fscore: [57.93], test_loss: 0.9256, acc: 65.0, fscore: [65.08], time: 70.32 sec
epoch: 41, train_loss: 0.4633, acc: 83.21, fscore: [83.14], valid_loss: 1.1833, acc: 54.25, fscore: [54.33], test_loss: 1.0051, acc: 62.85, fscore: [62.85], time: 77.18 sec
epoch: 42, train_loss: 0.4483, acc: 83.63, fscore: [83.51], valid_loss: 1.0351, acc: 58.89, fscore: [58.84], test_loss: 0.914, acc: 66.3, fscore: [66.17], time: 85.04 sec
epoch: 43, train_loss: 0.4212, acc: 84.97, fscore: [84.78], valid_loss: 1.081, acc: 56.88, fscore: [57.13], test_loss: 0.947, acc: 65.43, fscore: [65.5], time: 73.56 sec
epoch: 44, train_loss: 0.4038, acc: 86.04, fscore: [85.94], valid_loss: 1.1283, acc: 57.5, fscore: [57.53], test_loss: 0.9706, acc: 65.93, fscore: [66.07], time: 75.92 sec
epoch: 45, train_loss: 0.3877, acc: 86.66, fscore: [86.58], valid_loss: 1.1512, acc: 57.96, fscore: [58.08], test_loss: 0.9741, acc: 65.31, fscore: [65.37], time: 74.7 sec
epoch: 46, train_loss: 0.3765, acc: 87.22, fscore: [87.11], valid_loss: 1.136, acc: 58.42, fscore: [58.68], test_loss: 0.953, acc: 64.94, fscore: [64.97], time: 73.31 sec
epoch: 47, train_loss: 0.3669, acc: 87.68, fscore: [87.6], valid_loss: 1.1111, acc: 58.27, fscore: [58.52], test_loss: 0.9431, acc: 64.08, fscore: [63.98], time: 73.88 sec
epoch: 48, train_loss: 0.3908, acc: 85.96, fscore: [85.88], valid_loss: 1.2673, acc: 56.11, fscore: [56.19], test_loss: 1.0495, acc: 65.56, fscore: [65.53], time: 71.61 sec
epoch: 49, train_loss: 0.378, acc: 86.71, fscore: [86.59], valid_loss: 1.2889, acc: 55.18, fscore: [55.23], test_loss: 1.0909, acc: 64.82, fscore: [64.87], time: 73.03 sec
epoch: 50, train_loss: 0.3805, acc: 86.27, fscore: [86.22], valid_loss: 1.2328, acc: 56.72, fscore: [56.49], test_loss: 1.0423, acc: 63.89, fscore: [63.94], time: 73.15 sec
epoch: 51, train_loss: 0.3858, acc: 85.65, fscore: [85.57], valid_loss: 1.1193, acc: 56.88, fscore: [56.88], test_loss: 1.0563, acc: 61.37, fscore: [61.62], time: 77.33 sec
epoch: 52, train_loss: 0.4602, acc: 82.98, fscore: [82.86], valid_loss: 1.2527, acc: 53.48, fscore: [53.33], test_loss: 1.4982, acc: 55.39, fscore: [54.56], time: 75.42 sec
epoch: 53, train_loss: 0.6155, acc: 77.4, fscore: [77.42], valid_loss: 1.3958, acc: 52.24, fscore: [51.69], test_loss: 1.1415, acc: 61.68, fscore: [61.64], time: 70.61 sec
epoch: 54, train_loss: 0.5281, acc: 80.59, fscore: [80.61], valid_loss: 1.1048, acc: 60.12, fscore: [59.65], test_loss: 0.973, acc: 66.67, fscore: [66.34], time: 74.3 sec
epoch: 55, train_loss: 0.3956, acc: 86.09, fscore: [85.98], valid_loss: 1.2841, acc: 55.18, fscore: [55.22], test_loss: 0.992, acc: 64.02, fscore: [63.94], time: 76.1 sec
epoch: 56, train_loss: 0.3754, acc: 86.85, fscore: [86.87], valid_loss: 1.2852, acc: 56.26, fscore: [56.47], test_loss: 1.027, acc: 64.88, fscore: [64.66], time: 74.1 sec
epoch: 57, train_loss: 0.3481, acc: 88.34, fscore: [88.26], valid_loss: 1.1614, acc: 58.11, fscore: [57.6], test_loss: 0.9452, acc: 65.06, fscore: [65.0], time: 66.91 sec
epoch: 58, train_loss: 0.3209, acc: 89.75, fscore: [89.7], valid_loss: 1.2886, acc: 59.04, fscore: [58.99], test_loss: 1.0309, acc: 64.39, fscore: [64.22], time: 68.61 sec
epoch: 59, train_loss: 0.3018, acc: 90.61, fscore: [90.59], valid_loss: 1.2594, acc: 57.5, fscore: [57.27], test_loss: 1.0083, acc: 64.14, fscore: [64.21], time: 71.08 sec
epoch: 60, train_loss: 0.2815, acc: 91.57, fscore: [91.53], valid_loss: 1.2918, acc: 55.64, fscore: [55.12], test_loss: 1.0206, acc: 65.06, fscore: [65.01], time: 75.63 sec
